----------------------------------------------------------------------------------------------
GENESIS
----------------------------------------------------------------------------------------------

CHAPTER 1
Ge 1:1	In da beginning, God created da heavens n da earth--
Ge 16:16	And Abram wuz eighty-6 yrs old when Hagar bore Ishmael 2 Abram. 


CHAPTER 17
Ge 17:1	When Abram wuz 99 yrs old YHWH appeared 2 Abram. And he said 2 him, "im El-Shaddai; walk b4 me n be blameless
Ge 17:2	so dat i may make my covenant between me n u, n may multiply u exceedingly."
Ge 17:3	Then Abram fell on his face n God spoke w him, sayin’,
Ge 17:4	"As 4 me, look, my covenant will be w u, n u will be da dad of a multitude of nations.
Ge 17:5	Yo name will no longer be called Abram, but yo name will be Abe, cuz i’ll make u da dad of a multitude of nations.
Ge 17:6	And i’ll make u exceedingly fruitful. i’ll make u a nation, n kings will go out from u.
Ge 17:7	And i’ll establish my covenant between me n u, n between yo offspring after u, throughout their gens as an everlasting covenant 2 be as God 4 u n 2 yo offspring after u.
Ge 17:8	And i’ll give 2 u n 2 yo offspring after u da land in which u r livin’ as an alien, all da land of Canaan, as an everlasting property. And i gonna be 2 them as God." 

Ge 17:9	And God said 2 Abe, "Now as 4 u, u must keep my covenant, u n yo offspring after u, throughout their gens.
Ge 17:10	Dis is my covenant which u will keep, between me n u, n also w yo offspring after u: Every male among u will be cut.
Ge 17:11	And u will cut da flesh of yo foreskin, n it’ll be a sign of da covenant between me n u.
Ge 17:12	And at 8 days of age u will yoselves cut every male belonging 2 yo gens n da servant born in yo house n da 1 bought from any foreigner who isn’t from yo offspring.
Ge 17:13	U must totally cut da servant born in yo house n da 1 bought from any foreigner. And my covenant will be w yo flesh as an everlasting covenant.
Ge 17:14	And as 4 any uncircumcised male who hasn't cut da flesh of his foreskin, dat person will be cut off from his ppl. He haz broken my covenant.
Ge 17:15	And God said 2 Abe, "as 4 Sarai yo wife, u will not call her name Sarai, 4 Sarah will be her name.
Ge 17:16	And i’ll bless her; moreover, i give 2 u from her a son. And i’ll bless her, n she’ll give rise 2 nations. Kings of peoples will come from her."
Ge 17:17	And Abe fell on his face n LOLed. And he said in his heart, "Can a kid be born 2 a man a hundred yrs old, or can Sarah bear a kid at ninety?"
Ge 17:18	And Abe said 2 God, "Oh dat Ishmael might live b4 u!"
Ge 17:19	And God said, "No, but Sarah yo wife will bear a son 4 u, n u will call his name Isaac. And i’ll establish my covenant w him as an everlasting covenant 2 his offspring after him.
Ge 17:20	And as 4 Ishmael, i’ve heard u. Look, i’ll bless him n i’ll make him fruitful, n i’ll multiply him exceedingly. He will dad 12 princes, n i’ll make him a great nation.
Ge 17:21	But my covenant i’ll establish w Isaac, whom Sarah will bear 2 u at dis appointed time next yr."
Ge 17:22	When he finished talkin’ w him, God went up from Abe.
Ge 17:23	And Abe took Ishmael his son n all who were born of his house, n all those acquired by his money, every male among da men of Abe's house, n he cut da flesh of their foreskin on da same day dat God spoke w him.
Ge 17:24	Abe wuz 99 yrs old when he cut da flesh of his foreskin.
Ge 17:25	And Ishmael his son wuz 13 yrs old when he cut da flesh of his foreskin.
Ge 17:26	Abe n his son Ishmael were cut on da same day.
Ge 17:27	And all da men of his house, those born in da house, n those acquired by money from a foreigner, were cut w him. 


CHAPTER 18
Ge 18:1	And YHWH appeared 2 him by da oaks of Mamre. And he wuz sitting in da doorway of da tent at da heat of da day.
Ge 18:2	And he lifted up his eyes n saw, n look, 3 men were standing near him. And he saw them n ran from da doorway of da tent 2 meet them. And he bowed down 2 da ground.
Ge 18:3	And he said, "My lord, if i’ve found favor in yo eyes don’t pass by yo servant.
Ge 18:4	Let a lil’ water be brought n wash yo feet, n rest under da tree.
Ge 18:5	And let me bring a piece of bread, then refresh yoselves. Afterward u can pass on, once u hav passed by w yo servant." Then they said, "Do so as u hav said."
Ge 18:6	Then Abe hastened into da tent 2 Sarah, n he said, "Quickly--make 3 seahs of fine flour 4 kneading n make bread cakes!"
Ge 18:7	And Abe ran 2 da cattle n took a calf, tender n gud, n gave it 2 da servant, n he made haste 2 prepare it.
Ge 18:8	Then he took curds n milk, n da calf which he prepared, n set it b4 them. And he wuz standing by them under da tree while they ate.
Ge 18:9	And they said 2 him, "Where is Sarah yo wife?" And he said, "Here, in da tent."
Ge 18:10	And he said, "i’ll totally return 2 u in da spring, n look, Sarah yo wife will hav a son." Now Sarah wuz listening at da doorway of da tent, n which wuz behind him.
Ge 18:11	Now Abe n Sarah were old, advanced in age; da wey of women had ceased 2 be 4 Sarah.
Ge 18:12	So Sarah LOLed 2 herself sayin’, "After im worn out n my husband is old, will dis pleasure be 2 me?"
Ge 18:13	Then YHWH said 2 Abe, "Wut is dis dat Sarah LOLed, sayin’, 'Is it indeed tru dat i’ll bear a kid, now dat i’ve grown old?'
Ge 18:14	Is anythin’ too difficult 4 YHWH? At da appointed time i’ll return 2 u in da spring n Sarah will hav a son."
Ge 18:15	But Sarah denied it, sayin’, "i didn't laugh," cuz she wuz afraid. He said, "No, but u did laugh." 

Ge 18:16	Then da men set out from there, n they looked down on Sodom. And Abe went w them 2 send them on their wae.
Ge 18:17	Then YHWH said, "Will i conceal from Abe wut im goin’ 2 do?
Ge 18:18	Abe will ofc become a great n strong nation, n all da nations of da earth gonna be blessed on account of him.
Ge 18:19	Cuz i’ve chosen him, dat he’ll command his kids n his household after him dat they’ll keep da wey of YHWH, 2 do righteousness n justice, so dat YHWH may bring on Abe dat which he said 2 him."
Ge 18:20	Then YHWH said, "Cuz da outcry of Sodom n Gomorrah is great n cuz their sin is srs af,
Ge 18:21	i’ll go down n i’ll c. Hav they done altogether accordin’ 2 its cri of distress which haz come 2 me? If not, i’ll kno." 

Ge 18:22	And da men turned from there n went toward Sodom. And Abe wuz still standing b4 YHWH.
Ge 18:23	And Abe drew near 2 YHWH n said, "Will u also sweep away da gud w da wicked?
Ge 18:24	If maybe there r fifty gud in da midst of da city, will u also sweep them away n not forgive da place on account of da fifty gud in her midst?
Ge 18:25	Far be it from u 2 do such a thang as dis, 2 kill da gud w da wicked, dat da gud would be as da wicked! Far be it from u! Will not da Judge of all da earth do justice?"
Ge 18:26	And YHWH said, "If i find fifty gud in Sodom, in da midst of da city, then i’ll forgive da whole place 4 their sake."
Ge 18:27	Then Abe answered n said, "Look, please, i wuz bold 2 talk 2 my Lord, but im dust n ashes.
Ge 18:28	Maybe da fifty gud r lacking 5--will u destroy da whole city on account of da 5?" And he answered, "i’ll not destroy it if i find forty-5 there."
Ge 18:29	And once again he spoke 2 him n said, "Wut if forty r found there?" And he answered, "i’ll not do it on account of da forty."
Ge 18:30	And he said, "Please, let not my Lord be angry, n i’ll talk. Wut if thirty be found there?" And he answered, "i’ll not do it if i find thirty there."
Ge 18:31	And he said, "Please, now, i wuz bold 2 talk 2 my Lord. Wut if 20 be found there?" And he answered, "i’ll not destroy it 4 da sake of da 20."
Ge 18:32	And he said, "Please, let not my Lord be angry, n i’ll talk only once more. Wut if 10 r found there?" And he answered, "i’ll not destroy it 4 da sake of da 10."
Ge 18:33	Then YHWH left, as he finished talkin’ 2 Abe, n Abe returned 2 his place. 


CHAPTER 19
Ge 19:1	And da 2 angels came 2 Sodom in da evening. And Lot wuz sitting in da gateway of Sodom. Then Lot saw them n stood up 2 meet them. And he bowed down w his face 2 da ground.
Ge 19:2	And he said, "Look, my lords, please turn aside into da house of yo servant n spend da night n wash yo feet. Then u can rise early n go on yo wae." And they said, "No, but we'll spend da night in da square."
Ge 19:3	But he urged them strongly, n they turned aside w him n came into his house. And he made a meal 4 them n baked unleavened bread, n they ate.
Ge 19:4	B4 they laid down, da men of da city, da men of Sodom, both yung n old, all da ppl 2 da last man, surrounded da house.
Ge 19:5	And they called 2 Lot n said 2 him, "Where r da men who came 2 u tonight? Bring them out 2 us so dat we may kno them."
Ge 19:6	But Lot went out 2 them at da entrance, n he shut da door behind him.
Ge 19:7	And he said, "No, my bros, please don’t do such a wrong thang.
Ge 19:8	Look, i’ve 2 daughters who haven't known a man. Please, let me bring them out 2 u; then do 2 them as it seems gud in yo eyes. Only 2 deez men don’t do dis thang, since they came under my roof 4 protection."
Ge 19:9	But they said, "Step aside!" Then they said, "Dis fellow came 2 dwell as a foreigner n he acts as a judge! Now we will do worse 2 u than them!" And they pressed very hard against da man, against Lot, n they drew near 2 break da door.
Ge 19:10	Then da men reached out w their hands n brought Lot in 2 them, into da house, n they shut da door.
Ge 19:11	And da men who were at da entrance of da house they struck w blindness, both smol n great, n they were unable 2 find da entrance.
Ge 19:12	Then da men said 2 Lot, "Who is here w u? Bring out from da place yo sons-in-law, n yo sons n yo daughters, n all who r w u in da city.
Ge 19:13	Cuz we're 'bout 2 destroy dis place, cuz their cri haz become great b4 YHWH. YHWH sent us 2 destroy it."
Ge 19:14	Then Lot went out n spoke 2 his sons-in-law who were taking his daughters n said, "Get up! Go out from dis place, cuz YHWH is goin’ 2 destroy da city!" But it seemed like a joke in da eyes of his sons-in-law.
Ge 19:15	And as da dawn came up da angels urged Lot sayin’, "Get up, take yo wife n yo 2 daughters who r stayin’ w u, lest u be destroyed w da punishment of da city."
Ge 19:16	But when he lingered, da men seized him by his hand n his wife's hand, n his 2 daughters by hand, on account of da mercy of YHWH on him. And they brought him out n set him outside of da city.
Ge 19:17	And after bringing them outside 1 said, "Flee 4 yo lyf; don’t look behind u, n don’t stand anywhere in da plain. Flee 2 da mountains lest u be destroyed."
Ge 19:18	And Lot said 2 them, "No, please, my lords.
Ge 19:19	Look, yo servant haz found favor in yo eyes n u hav shown me great kindness in saving my lyf. But i can’t flee 2 da mountains, lest da disaster overtake me n i die.
Ge 19:20	Look, dis city is near enough 2 flee there, n it’s a lil’ 1. Please, let me flee there. Is it not a lil’ 1? Then my lyf will be saved."
Ge 19:21	And he said 2 him, "Look, i’ll grant dis favor as well; dat i’ll not overthrow da city of which u hav spoken.
Ge 19:22	Escape there quickly, cuz i can’t do dis thang until u get there." So, there name of da city wuz called Zoar. 

Ge 19:23	After da sun had risen on da earth n Lot had entered Zoar,
Ge 19:24	YHWH rained down from heaven on Sodom n Gomorrah brimstone n fire from YHWH.
Ge 19:25	And he overthrew those cities n da whole plain, n da ppl of da cities n da vegetation of da ground.
Ge 19:26	But his wife looked back, n she became a pillar of salt.
Ge 19:27	And Abe arose early in da mornin’ n went 2 da place where he had stood b4 YHWH.
Ge 19:28	And he looked down on da surface of Sodom n Gomorrah, n on da whole surface of da land, da plain. And he saw dat, look, da smoke of da land went up like da smoke of a smelting furnace.
Ge 19:29	So 'twas, when God destroyed da cities of da plain dat God remembered Abe n sent Lot out from da midst of da overthrow, when he overthrew da cities in which Lot lived. 

Ge 19:30	And Lot went out from Zoar n settled in da hill country w his 2 daughters, 4 he wuz afraid 2 stay in Zoar. So he lived in a cave, he n his 2 daughters.
Ge 19:31	And da firstborn daughter said 2 da younger 1, "Our dad is old, n there’s no man in da land 2 come in 2 us accordin’ 2 da manner of all da land.
Ge 19:32	Come, let’s give our dad wine 2 drink n let’s lie w him dat we may secure descendants thru our dad."
Ge 19:33	And they gave their dad wine 2 drink dat night, n da firstborn went n lay w her dad, but he didn't kno when she lay down or when she got up.
Ge 19:34	And it happened dat, da next day da firstborn said 2 da younger 1, "Look, i laid w my dad last night. Let us give him wine 2 drink also tonight, then go n lie w him dat we may secure descendants thru our dad."
Ge 19:35	And they gave their dad wine 2 drink again dat night, n da younger got up n lay w him, but he didn't kno when she lay down or when she got up.
Ge 19:36	And da 2 daughters of Lot became preggers by their dad.
Ge 19:37	Da firstborn gave birth 2 a son, n she called his name Moab. He is da dad of Moab until dis day.
Ge 19:38	And da younger, she also gave birth 2 a son, n she called his name Ben-Ammi. He is da dad of da Ammonites until dis day. 


CHAPTER 20
Ge 20:1	And Abe journeyed from there 2 da land of da Negev, n he settled between Kadesh n Shur. And he dwelled as an alien in Gerar.
Ge 20:2	And Abe said 'bout Sarah his wife, "She is my sister." And Abimelech king of Gerar sent n took Sarah.
Ge 20:3	And God came 2 Abimelech in a dream at night. And he said 2 him, "Look, u r a ded man on account of da woman u hav taken. Cuz she’s a married woman."
Ge 20:4	Now Abimelech hadn't approached her, so he said, "my Lord, will u even kill a gud ppl?"
Ge 20:5	Did not he himself tell me, 'She is my sister'? And she herself said, 'He is my bro.' Wit integrity of my heart n w cleanness of my hands i did dis."
Ge 20:6	Then God said 2 him in da dream, "Yeah, i kno dat in da integrity of yo heart u did dis, n i also kept u from sinning against me. So, i didn't allow u 2 touch her.
Ge 20:7	So now, return da wife of da man, 4 he’s a prophet, so dat he’ll pray 4 u n u will live. And if u don’t return her, kno dat u will totally die, n all dat r urs." 

Ge 20:8	So Abimelech rose early in da mornin’. And he called all his servants n told them all deez tingz, n da men were afraid af.
Ge 20:9	And Abimelech called 4 Abe n said 2 him, "Wut hav u done 2 us? And how hav i sinned against u dat u brought on me n on my kingdom a great sin? U hav done tingz 2 me dat shouldn’t be done."
Ge 20:10	And Abimelech said 2 Abe, "Wut were u thinking dat u did dis thang?"
Ge 20:11	And Abe said, "Cuz i thought, ofc there’s no fear of God in dis place; they’ll kill me on account of da matter of my wife.
Ge 20:12	Besides, she’s my sister, da daughter of my dad, but not da daughter of my mom. And she became my wife.
Ge 20:13	And it happened dat as God caused me 2 wander from da house of my dad i said 2 her, 'Dis is yo loyal kindness dat u must do 4 me at every place where we come: say abt me, "He is my bro." '"
Ge 20:14	And Abimelech took sheep n cattle n male slaves n female slaves, n he gave them 2 Abe. And he returned Sarah his wife 2 him.
Ge 20:15	And Abimelech said, "Here is my land b4 u; settle where it pleases u."
Ge 20:16	And 2 Sarah he said, "Look, i’ve given a K pieces of silver 2 yo bro. It will be an exoneration. U r vindicated b4 all who r w u."
Ge 20:17	And Abe prayed 2 God, n God healed Abimelech n his wife n his female servants so dat they could bear kids again.
Ge 20:18	Cuz YHWH had totally closed up all da wombs of da house of Abimelech cuz of da matter of Sarah, da wife of Abe. 


CHAPTER 21
Ge 21:1	And YHWH visited Sarah as he had said. And YHWH did 2 Sarah as he had promised.
Ge 21:2	And she conceived, n Sarah bore 2 Abe a son in his old age at da appointed time dat God had told him.
Ge 21:3	And Abe called da name of his son who wuz born 2 him, whom Sarah bore 2 him, Isaac.
Ge 21:4	And Abe cut Isaac his son when he wuz 8 days old, as God had commanded him.
Ge 21:5	And Abe wuz 1 hundred yrs old when Isaac his son wuz born 2 him.
Ge 21:6	And Sarah said, "God haz made laughter 4 me; all who hear will laugh 4 me."
Ge 21:7	And she said, "Who would announce 2 Abe dat Sarah would nurse kids? Yet i’ve borne a son 2 Abe in his old age." 

Ge 21:8	And da kid grew n wuz weaned. And Abe made a great feast on da day Isaac wuz weaned.
Ge 21:9	And Sarah saw da son of Hagar da Egyptian, whom she had borne Abe, roasting.
Ge 21:10	Then she said 2 Abe, "Drive out dis slave woman n her son, 4 da son of dis slave woman won’t be heir w my son, w Isaac."
Ge 21:11	And da matter displeased Abe much af on account of his son.
Ge 21:12	Then God said 2 Abe, "Don’t be displeased on account of da boi n on account of da slave woman. Listen 2 everythin’ dat Sarah said 2 u, 4 thru Isaac yo offspring gonna be named.
Ge 21:13	And i’ll also make da son of da slave woman into a nation, 4 he’s yo offspring."
Ge 21:14	Then Abe rose up early in da mornin’ n took bread n a skin of water n gave it 2 Hagar, putting it on her shoulder. And he sent her away w da kid, n she went, wandering 'bout in da wilderness, in Beersheba.
Ge 21:15	And when da water wuz finished from da skin, she put da kid under 1 of da bushes.
Ge 21:16	And she went n she sat a gud distance away, 4 she said, "Let me not c da kid's death." So she sat away from him n lifted up her voice n cried.
Ge 21:17	And God heard da cri of da boi n da angel of God called 2 Hagar from da heavens n said 2 her, "Wut is da matter Hagar? Don’t be afraid, 4 God haz heard da cri of da boi from where he’s.
Ge 21:18	Get up, take up da boi n take him w yo hand, cuz i’ll make him a great nation."
Ge 21:19	And God opened her eyes, n she saw a well of water. And she went n filled da skin w water n gave a drink 2 da boi.
Ge 21:20	And God wuz w da boi, n he grew n lived in da wilderness. And he became an expert w a bow.
Ge 21:21	And he lived in da wilderness of Paran. And his mom took a wife 4 him from da land of Egypt. 

Ge 21:22	And it happened dat at dat time, Abimelech n Phicol, da commander of his army, said 2 Abe, "God is w u, in all dat u do.
Ge 21:23	So now, swear 2 me here by God dat u won’t deal w me falsely, or w my descendants, or my posterity. According 2 da kindness dat i’ve done 2 u, u will pledge 2 do w me n w da land where u hav dwelled as an alien."
Ge 21:24	And Abe said, "i swear."
Ge 21:25	Then Abe complained 2 Abimelech on account of da well of water dat servants of Abimelech had seized.
Ge 21:26	And Abimelech said, "idk who did dis thang, neither did u tell me, nor hav i heard of it except 4 2day."
Ge 21:27	And Abe took sheep n cattle n gave them 2 Abimelech. And da 2 of them made a covenant.
Ge 21:28	Then Abe set off 7 ewe-lambs of da flock by themselves.
Ge 21:29	And Abimelech said 2 Abe, "Wut is da meaning of deez 7 ewe-lambs dat u hav set off by themselves?"
Ge 21:30	And he said, "U will take da 7 ewe-lambs from my hand as proof on my behalf dat i dug dis well."
Ge 21:31	So dat place is called Beersheba, cuz there da 2 of them swore an oath.
Ge 21:32	And they made a covenant at Beersheba. And Abimelech, n Phicol his army commander stood n returned 2 da land of da Philistines.
Ge 21:33	And he planted a tamarisk tree in Beersheba, n there he called on da name of YHWH, da everlasting God.
Ge 21:34	And Abe dwelled as an alien in da land of da Philistines many days. 


CHAPTER 22
Ge 22:1	And it happened dat after deez tingz, God tested Abe. And he said 2 him, "Abe!" And he said, "Here im."
Ge 22:2	And he said, "Take yo son, yo only kid, Isaac, whom u luv, n go 2 da land of Moriah, n offer him there as a burnt offering on 1 of da mountains where i’ll tell u."
Ge 22:3	And Abe rose up early in da mornin’ n saddled his donkey. And he took 2 of his servants w him, n Isaac his son. And he chopped wood 4 a burnt offering. And he got up n went 2 da place which God had told him.
Ge 22:4	On da 3rd day Abe lifted up his eyes, n he saw da place at a distance.
Ge 22:5	And Abe said 2 his servants, "U stay here w da donkey, n i n da boi will go up there. We will worship, then we'll return 2 u."
Ge 22:6	And Abe took da wood of da burnt offering n placed it on Isaac his son. And he took da fire in his hand n da knife, n da 2 of them went together.
Ge 22:7	And Isaac said 2 Abe his dad, "My dad!" And he said, "Here im, my son." And he said, "Here is da fire n da wood, but where’s da lamb 4 a burnt offering?"
Ge 22:8	And Abe said, "God will provide da lamb 4 a burnt offering, my son." And da 2 of them went together. 

Ge 22:9	And they came 2 da place dat God had told him. And Abe built an altar there n arranged da wood. Then he bound Isaac his son n placed him on da altar atop da wood.
Ge 22:10	And Abe stretched out his hand n took da knife 2 slaughter his son.
Ge 22:11	And da angel of YHWH called 2 him from heaven n said, "Abe! Abe!" And he said, "Here im."
Ge 22:12	And he said, "Don’t stretch out yo hand against da boi; don’t do anythin’ 2 him. Cuz now i kno dat u r 1 who fears God, since u haven't withheld yo son, yo only kid, from me."
Ge 22:13	And Abe lifted up his eyes n looked. And look, a ram wuz caught in da thicket by his horns. And Abe went n took da ram, n offered it as a burnt offering in place of his son.
Ge 22:14	And Abe called da name of dat place "YHWH will provide," 4 which reason it’s said 2day, "on da mountain of YHWH it’ll be provided."
Ge 22:15	And da angel of YHWH called 2 Abe a 2nd time from heaven.
Ge 22:16	And he said, "i swear by myself, declares YHWH, dat cuz u hav done dis thang n haven't withheld yo son, yo only kid,
Ge 22:17	dat i’ll totally bless u n greatly multiply yo offspring as da stars of heaven, n as da sand dat’s by da shore of da sea. And yo offspring will take possession of da gate of his enemies.
Ge 22:18	All da nations of da earth gonna be blessed thru yo offspring, cuz u hav listened 2 my voice."
Ge 22:19	And Abe returned 2 his servants, n they got up n went together 2 Beersheba. And Abe lived in Beersheba. 

Ge 22:20	And it happened dat after deez tingz, 'twas told 2 Abe, "Look, Milcah haz also borne kids 2 yo bro Nahor:
Ge 22:21	Uz his firstborn n Buz his bro, n Kemuel da dad of Aram,
Ge 22:22	n Kesed, Hazo, Pildash, Jidlaph, n Bethuel."
Ge 22:23	(Now, Bethuel fathered Rebekah). Deez 8 Milcah bore 2 Nahor, da bro of Abe.
Ge 22:24	And his concubine, whose name wuz Reumah, also bore Tebah, Gaham, Tahash, n Maacah. 


CHAPTER 23
Ge 23:1	And Sarah lived 1 hundred n 20-7 yrs; deez were da yrs of da lyf of Sarah.
Ge 23:2	And Sarah died in Kiriath Arba; dat’s Hebron, in da land of Canaan.
Ge 23:3	And Abe went 2 mourn 4 Sarah n 2 cri 4 her. And Abe rose up from his ded, n he spoke 2 da Hittites n said,
Ge 23:4	"im a stranger n an alien among u; give 2 me my own burial site among u so dat i may bury my ded from b4 me."
Ge 23:5	And da Hittites answered Abe n said 2 him,
Ge 23:6	"Hear us, my lord, u r a mighty prince in our midst. Bury yo ded in da choicest of our burial sites. None of us will withhold his burial site from u 4 burying yo ded."
Ge 23:7	And Abe rose up n bowed 2 da ppl of da land, 2 da Hittites.
Ge 23:8	And he spoke w them, sayin’, "If u r willing dat i bury my ded from b4 me, hear me n intercede 4 me w Ephron da son of Zohar,
Ge 23:9	dat he may sell 2 me da cave of Machpelah which belongs 2 him, which is at da end of his field. At full value let him sell it 2 me in yo midst as a burial site."
Ge 23:10	Now Ephron wuz sitting among da Hittites. And Ephron da Hittite answered Abe in da hearing of da Hittites w respeck 2 all who were entering da gate of his city, n said,
Ge 23:11	"No, my lord, hear me. i give u da field n da cave which is in it, i also give it 2 u in da sight of da kids of my ppl i give it 2 u. Bury yo ded."
Ge 23:12	And Abe bowed b4 da ppl of da land.
Ge 23:13	And he spoke 2 Ephron in da hearing of da ppl of da land, sayin’, "If only u will hear me--i give da price of da field. Take it from me dat i may bury my ded there."
Ge 23:14	And Ephron answered Abe, sayin’ 2 him,
Ge 23:15	"My lord, hear me. A piece of land worth 4 hundred shekels of silver--wut is dat between me n u? Bury yo ded."
Ge 23:16	Then Abe listened 2 Ephron, n Abe weighed 4 Ephron da silver dat he had named in da hearing of da Hittites: 4 hundred shekels of silver at da merchants' current rate.
Ge 23:17	So da field of Ephron which wuz in da Machpelah, which wuz near Mamre--da field n da cave which wuz in it, w all da trees dat were in da field, which were within all its surrounding boundaries--passed
Ge 23:18	2 Abe as a property in da presence of da Hittites, w respeck 2 all who were entering da gate of his city.
Ge 23:19	And so afterward Abe buried Sarah his wife in da cave of da field of Machpelah near Mamre; dat’s Hebron, in da land of Canaan.
Ge 23:20	And da field n da cave which wuz in it passed 2 Abe as a burial site from da Hittites. 


CHAPTER 24
Ge 24:1	Now Abe wuz old, advanced in age, n YHWH had blessed Abe in everythin’.
Ge 24:2	And Abe said 2 his servant, da oldest of his house, who had charge of all he had, "Please put yo hand under my thigh
Ge 24:3	dat i may make u swear by YHWH, da God of heaven n da God of earth, dat u won’t take a wife 4 my son from da daughters of da Canaanites in whose midst im dwelling,
Ge 24:4	but dat u will go 2 my land n 2 my fam, n take a wife 4 my son, 4 Isaac."
Ge 24:5	And da servant said 2 him, "Maybe da woman won’t be willing 2 follow me 2 dis land--must i then return yo son 2 da land from whence u came?"
Ge 24:6	Abe said 2 him, "U must take care dat u don’t return my son there.
Ge 24:7	YHWH, da God of heaven who took me from da house of my dad n from da land of my fam, n who spoke 2 me n swore 2 me, sayin’, '2 yo offspring i’ll give dis land,' he’ll send his angel b4 u, n u will take a wife 4 my son from there.
Ge 24:8	And if da woman isn’t willing 2 follow u, then u will be released from dis oath of mine--only u must not return my son there."
Ge 24:9	Then da servant put his hand under da thigh of Abe his master, n he swore 2 him abt dis matter.
Ge 24:10	And da servant took 10 camels from his master's camels, n he went w all kinds of his master's gud tingz in his hand. And he arose n went 2 Aram-Naharaim, 2 da city of Nahor.
Ge 24:11	And he made da camels kneel outside da city at da well of water, at da time of evening, toward da time da women went out 2 draw water.
Ge 24:12	And he said, "O YHWH, God of my master Abe, please grant me success 2day n show loyal luv 2 my master Abe.
Ge 24:13	Look, im standing by da spring of water, n da daughters of da men of da city r goin’ out 2 draw water.
Ge 24:14	And let it be dat da girl 2 whom i’ll say, 'Please, offer yo jar dat i may drink' n who says, 'Drink--n i’ll also water yo camels,' she’s da 1 u hav chosen 4 yo servant, 4 Isaac. By her i’ll kno dat u hav shown loyal luv 2 my master."
Ge 24:15	And it happened dat b4 he had finished talkin’, look, Rebekah--who wuz born 2 Bethuel, son of Milcah, da wife of Nahor, da bro of Abe--came out, n her jar wuz on her shoulder.
Ge 24:16	Now da girl wuz very pleasing in appearance. She wuz a virgin; no man had known her. And she went down 2 da spring, filled her jar, n came up.
Ge 24:17	And da servant ran 2 meet her. And he said, "Please, let me drink a lil’ of da water from yo jar."
Ge 24:18	And she said, "Drink, my lord." And she quickly lowered her jar in her hand n gave him a drink.
Ge 24:19	When she finished giving him a drink she said, "i’ll also draw water 4 yo camels until they finish drinking."
Ge 24:20	And she quickly emptied her jar into da trough n ran again 2 da well 2 draw water. And she drew water 4 all his camels.
Ge 24:21	And da man wuz gazing at her silently 2 kno if YHWH had made his journey successful or not.
Ge 24:22	And it happened dat as da camels finished drinking da man took a gold ring of a half shekel in weight n 2 bracelets 4 her arms, 10 shekels in weight,
Ge 24:23	n said, "Please tell me, whose daughter r u? Is there a place at da house of yo dad 4 us 2 spend da night?"
Ge 24:24	And she said 2 him, "im da daughter of Bethuel, son of Milcah, whom she bore 2 Nahor."
Ge 24:25	Then she said 2 him, "We hav both straw n fodder in abundance, as well as a place 2 spend da night."
Ge 24:26	And da man knelt down n worshiped YHWH.
Ge 24:27	And he said, "Blessed be YHWH, God of my master Abe, who hasn't withheld his loyal luv n his faithfulness from my master. i wuz on da wey n YHWH led me 2 da house of my master's bro."
Ge 24:28	Then da girl ran n reported deez tingz 2 da household of her mom. 

Ge 24:29	Now Rebekah had a bro, n his name wuz Laban. And Laban ran out 2 da man toward da spring.
Ge 24:30	And when he saw da ring n da bracelets on da arms of his sister n heard da words of Rebekah his sister, who said, "So da man spoke 2 me," he went 2 da man. And look, he wuz standing w da camels at da spring.
Ge 24:31	And he said, "Come, O blessed 1 of YHWH. Y do u stand outside? Now i’ve prepared da house n a place 4 da camels."
Ge 24:32	And da man came 2 da house n unloaded da camels. And he gave straw n fodder 2 da camels, n water 2 wash his feet n da feet of da men who were w him.
Ge 24:33	And food wuz placed b4 him 2 eat. And he said, "i’ll not eat until i’ve told my errand." And he said, "Talk."
Ge 24:34	And he said, "im da servant of Abe.
Ge 24:35	Now YHWH haz blessed my master exceedingly, n he’s become great. He haz given 2 him sheep n cattle, silver n gold, male slaves n female slaves, n camels n donkeys.
Ge 24:36	And Sarah, da wife of my master, haz borne a son 2 my master after her old age. And he’s given 2 him all dat he’s.
Ge 24:37	And my master made me swear, sayin’, 'Don’t take a wife 4 my son from da daughters of da Canaanites in whose land im livin’.
Ge 24:38	But u will go 2 da house of my dad, n 2 my fam, n u will take a wife 4 my son.'
Ge 24:39	And i said 2 my master, 'Maybe da woman won’t follow me.'
Ge 24:40	And he said 2 me, 'YHWH, b4 whom i’ve walked, will send his angel w u n will make yo journey successful. And u will take a wife 4 my son from my fam, n from da house of my dad.
Ge 24:41	Then u will be released from my oath, when u come 2 my fam. And if they’ll not give a woman 2 u, then u gonna be released from my oath.'
Ge 24:42	Then 2day i came 2 da spring, n i said, 'O YHWH, God of my master Abe, if u would please make my journey successful, on which im goin’.
Ge 24:43	Look, im standing by da spring of water. Let it be dat da yung woman who comes out 2 draw water n 2 whom i say, "Please gimme a lil’ water 2 drink from yo jar,"
Ge 24:44	let her tell me, "Drink; i’ll also draw water 4 yo camels," she’s da woman whom YHWH haz appointed 4 da son of my master.'
Ge 24:45	i hadn't yet finished talkin’ 2 myself when, look, Rebekah wuz comin’ out w her jar on her shoulder. And she went down 2 da spring n drew water. And i said 2 her, 'Please gimme a drink.'
