----------------------------------------------------------------------------------------------
JOHN
----------------------------------------------------------------------------------------------

CHAPTER 1
Jn 1:1	In da beginning wuz da Word, n da Word wuz w God, n da Word wuz God.
Jn 6:57	Just as da livin’ Dad sent me, n i live cuz of da Dad, so also da 1 who eats me--dat 1 will live cuz of me.
Jn 6:58	Dis is da bread dat came down from heaven, not as da dads ate n died. Da 1 who eats dis bread will live 4ever." 

Jn 6:59	He said deez tingz while teaching in da synagogue in Capernaum.
Jn 6:60	So many of his homies, when they heard it, said, "Dis sayin’ is hard! Who can understand it?"
Jn 6:61	But Jesus, cuz he knew within himself dat his homies were grumbling 'bout dis, said 2 them, "Does dis cause u 2 be offended?
Jn 6:62	Then wut if u c da Son of Man goin’ up where he wuz b4?
Jn 6:63	Da Spirit is da 1 who gives lyf; da flesh profits nothin’. Da words dat i’ve spoken 2 u r spirit n r lyf.
Jn 6:64	But there r some of u who don’t believe." (Cuz Jesus knew from da beginning who they were who didn't believe, n who 'twas who’d betray him.)
Jn 6:65	And he said, "Cuz of dis i said 2 u dat nobody can come 2 me unless it’s been granted 2 him by da Dad." 

Jn 6:66	Cuz of dis reason many of his homeboys drew back n weren't walking w him any longer.
Jn 6:67	So Jesus said 2 da 12, "U don’t wanna go away also, do u?"
Jn 6:68	Simon Pete answered him, "Lord, 2 whom would we go? U hav da words of lyf 4ever.
Jn 6:69	And we've believed, n hav come 2 kno, dat u r da Holy 1 of God."
Jn 6:70	Jesus replied 2 them, "Did i not choose u, da 12, n 1 of u is da devil?"
Jn 6:71	(Now he wuz talkin’ 'bout Judas son of Simon Iscariot, cuz dis 1--1 of da 12--wuz goin’ 2 betray him.) 


CHAPTER 7
Jn 7:1	And after deez tingz Jesus wuz goin’ 'bout in Galilee. Cuz he didn't wanna go 'bout in Judea, cuz da Jews were seeking 2 kill him.
Jn 7:2	Now da feast of da Jews--da feast of Tabernacles--wuz near.
Jn 7:3	So his bros said 2 him, "Depart from here n go 2 Judea, so dat yo homies also can c yo works dat u r doin’.
Jn 7:4	Cuz nobody does anythin’ in secret n yet he himself desires 2 be publicly recognized. If u r doin’ deez tingz, reveal yoself 2 da world!"
Jn 7:5	(Cuz not even his bros believed in him.) 

Jn 7:6	So Jesus said 2 them, "My time hasn't yet come, but yo time is always ready.
Jn 7:7	Da world can’t h8 u, but it hates me, cuz im testifying 'bout it, dat its deeds r bad.
Jn 7:8	U go up 2 da feast. i ain’t goin’ up 2 dis feast, cuz my time isn’t yet completed.
Jn 7:9	And when he had said deez tingz, he remained in Galilee. 

Jn 7:10	But when his bros had gone up 2 da feast, then he also went up, not openly, but (as it were) in secret.
Jn 7:11	So da Jews were looking 4 him at da feast, n were sayin’, "Where is he?"
Jn 7:12	And there wuz a lotta grumbling abt him among da crowds; some were sayin’, "He is a gud man," but others were sayin’, "No, but he deceives da crowd."
Jn 7:13	However, nobody wuz talkin’ openly 'bout him 4 fear of da Jews. 

Jn 7:14	Now when da feast wuz already half over, Jesus went 2 da temple courts n began 2 teach.
Jn 7:15	Then da Jews were shook, sayin’, "How does dis man possess knowledge, cuz he hasn't been taught?"
Jn 7:16	So Jesus answered them n said, "My teaching isn’t mine, but is from da 1 who sent me.
Jn 7:17	If anyone wants 2 do wut he wants, he’ll kno 'bout my teaching, whether it’s from God or im talkin’ from myself.
Jn 7:18	Da 1 who speaks from himself seeks his own glory. But da 1 who seeks da glory of da 1 who sent him--dis 1 is tru, n there’s no unrighteousness in him.
Jn 7:19	Has not Moe given u da law, n none of u carries out da law? Y do u seek 2 kill me?" 

Jn 7:20	Da crowd replied, "U hav a demon! Who is seeking 2 kill u?"
Jn 7:21	Jesus answered n said 2 them, "i performed 1 work, n u r all shook.
Jn 7:22	Cuz of dis Moe haz given u circumcision (not dat it’s from Moe, but from da dads), n u cut a man on da Sabbath.
Jn 7:23	If a man receives circumcision on da Sabbath so dat da law of Moe would not be broken, r u angry w me cuz i made a whole man well on da Sabbath?
Jn 7:24	Don’t judge accordin’ 2 outward appearance, but judge accordin’ 2 gud judgment!" 

Jn 7:25	Then some of da ppl of Jerusalem began 2 say, "Is dis not da 1 whom they’re seeking 2 kill?
Jn 7:26	And look, he’s talkin’ openly n they’re sayin’ nothin’ 2 him! Can it be dat da rulers fr kno dat dis man is da Christ?
Jn 7:27	Yet we kno where dis man is from, but da Christ, whenever he comes--nobody knows where he’s from!" 

Jn 7:28	Then Jesus cried out in da temple courts, teaching n sayin’, "U both kno me n u kno where im from! And i haven't come from myself, but da 1 who sent me is tru, whom u dunno.
Jn 7:29	i kno him, cuz im from him n he sent me." 

Jn 7:30	So they were seeking 2 seize him, n nobody laid a hand on him, cuz his hr hadn't yet come.
Jn 7:31	But from da crowd many believed in him n were sayin’, "Whenever da Christ comes, he’ll not perform more signs than dis man haz done, will he?" 

Jn 7:32	Da Pharisees heard da crowd murmuring deez tingz 'bout him, n da chief priests n da Pharisees sent officers in order 2 take him into custody .
Jn 7:33	Then Jesus said, "Yet a lil’ time im w u, n im goin’ 2 da 1 who sent me.
Jn 7:34	U will seek me n won’t find me, n where im, u can’t come." 

Jn 7:35	So da Jews said 2 1 anotha, "Where is dis 1 goin’ 2 go, dat we'll not find him? He isn’t goin’ 2 go 2 da Dispersion among da Greeks n teach da Greeks, is he?
Jn 7:36	Wut is dis sayin’ dat he said, 'U will seek me n won’t find me, n where im, u can’t come'?" 

Jn 7:37	Now on da last day of da feast--da great day--Jesus stood n cried out, sayin’, "If anyone is thirsty, let him come 2 me, n let him drink,
Jn 7:38	da 1 who believes in me. Just as da scripture said, 'Out of his belly will flow rivers of livin’ water.'"
Jn 7:39	Now he said dis abt da Spirit, whom those who believed in him were 'bout 2 get. Cuz da Spirit wasn’t yet given, cuz Jesus hadn't yet been glorified.) 

Jn 7:40	Then, when they heard deez words, some from da crowd began 2 say, "Dis man is fr da Prophet!"
Jn 7:41	Others were sayin’, "Dis man is da Christ!" But others were sayin’, "No, 4 da Christ doesn't come from Galilee, does he?
Jn 7:42	Has not da scripture said dat da Christ comes from da descendants of Dave, n from Bethlehem, da village where Dave wuz?"
Jn 7:43	So there wuz a division in da crowd cuz of him.
Jn 7:44	And some of them were wanting 2 seize him, but nobody laid hands on him. 

Jn 7:45	So da officers came 2 da chief priests n Pharisees. And they said 2 them, "Y did u not bring him?"
Jn 7:46	Da officers replied, "Never haz a man spoken like dis!"
Jn 7:47	Then da Pharisees replied 2 them, "U haven't also been deceived, hav u?
Jn 7:48	None of da rulers or of da Pharisees hav believed in him, hav they?
Jn 7:49	But dis crowd who doesn't kno da law is accursed!" 

Jn 7:50	Nicodemus, da 1 who came 2 him previously--who wuz 1 of them--said 2 them,
Jn 7:51	"Our law doesn't condemn a man unless it 1st hears from him n knows wut he’s doin’, does it?"
Jn 7:52	They answered n said 2 him, "U aren’t also from Galilee, r u? Investigate n c dat a prophet doesn't arise from Galilee!" [[
Jn 7:53	And each 1 went 2 his own house. 


CHAPTER 8
Jn 8:1	But Jesus went 2 da Mount of Olives.
Jn 8:2	Now early in da mornin’ he came again 2 da temple courts. And all da ppl were comin’, n he sat down n began 2 teach them. 

Jn 8:3	Now da scribes n da Pharisees brought 2 him a woman caught in cheating. And standing her in their midst,
Jn 8:4	they said 2 him, testing him, "Teacher, dis woman wuz caught in da very act of committing cheating!
Jn 8:5	Now in da law, Moe commanded us 2 stone such women. So wut do u say?"
Jn 8:6	(Now they were sayin’ dis 2 test him, so dat they’d hav an occasion 2 bring charges against him.) But Jesus, bending down, began 2 write w his finger on da ground, taking no notice.
Jn 8:7	And when they persisted in asking him, straightening up he said 2 them, "Da 1 of u without sin, let him yeet da 1st stone at her!"
Jn 8:8	And bending down again, he wrote on da ground.
Jn 8:9	Now when they heard it, bein’ convicted by their conscience, they began 2 depart, 1 by 1, beginning w da older ones, n Jesus wuz left alone--n da woman who wuz in their midst.
Jn 8:10	So Jesus, straightening up n seeing nobody except da woman, said 2 her, "Where r those accusers of urs? Does nobody condemn u?"
Jn 8:11	And she said, "No 1, Lord." So Jesus said, "Neither do i condemn u. Go, n sin no more."]] 

Jn 8:12	Then Jesus spoke 2 them again, sayin’, "im da light of da world! Da 1 who follows me will never walk in darkness, but will hav da light of lyf."
Jn 8:13	So da Pharisees said 2 him, "U testify abt yoself! Yo testimony isn’t tru."
Jn 8:14	Jesus answered n said 2 them, "Even if i testify abt myself, my testimony is tru, cuz i kno where i’ve come from n where im goin’. But u dunno where i’ve come from or where im goin’.
Jn 8:15	U judge accordin’ 2 externals; i don’t judge anyone.
Jn 8:16	But even if i judge, my judgment is tru, cuz i ain’t alone, but i n da Dad who sent me.
Jn 8:17	And even in yo law it’s written dat da testimony of 2 men is tru.
Jn 8:18	im da 1 who testifies abt myself, n da Dad who sent me testifies abt me." 

Jn 8:19	So they were sayin’ 2 him, "Where is yo dad?" Jesus replied, "U kno neither me nor my Dad! If u had known me, u would’ve known my Dad also."
Jn 8:20	He spoke deez words by da treasury while teaching in da temple courts, n nobody seized him, cuz his hr hadn't yet come. 

Jn 8:21	So he said 2 them again, "im goin’ away, n u will seek me n will die in yo sin. Where im goin’ u can’t come!"
Jn 8:22	Then da Jews began 2 say, "Maybe he’ll kill himself, cuz he’s sayin’, 'Where im goin’ u can’t come.'"
Jn 8:23	And he said 2 them, "U r from below; im from above. U r from dis world; i ain’t from dis world.
Jn 8:24	So i said 2 u dat u will die in yo sins. Cuz if u don’t believe dat im he, u will die in yo sins." 

Jn 8:25	So they began 2 tell him, "Who r u?" Jesus said 2 them, "Wut i’ve been sayin’ 2 u from da beginning.
Jn 8:26	i’ve many tingz 2 say n 2 judge abt u, but da 1 who sent me is tru, n da tingz which i heard from him, deez tingz i tell da world."
Jn 8:27	(They didn't kno dat he wuz talkin’ 2 them 'bout da Dad.) 

Jn 8:28	Then Jesus said, "When u lift up da Son of Man, then u will recognize dat im he, n i do nothin’ from myself, but just like da Dad taught me, i say deez tingz.
Jn 8:29	And da 1 who sent me is w me. He hasn't left me alone, cuz i always do da tingz dat r pleasing 2 him."
Jn 8:30	While he wuz sayin’ deez tingz, many believed in him. 

Jn 8:31	Then Jesus said 2 those Jews who had believed him, "If u continue in my word u r fr my homeboys,
Jn 8:32	n u will kno da truth, n da truth will set u free."
Jn 8:33	They replied 2 him, "We r descendants of Abe n haven't been enslaved 2 anyone at any time. How do u say, 'U will become free'?"
Jn 8:34	Jesus replied 2 them, "Fr, tbh, dat e’erybody who commits sin is a slave of sin.
Jn 8:35	And da slave doesn't remain in da household 4ever; da son remains 4ever.
Jn 8:36	So if da son sets u free, u gonna be fr free.
Jn 8:37	i kno dat u r descendants of Abe. But u r seeking 2 kill me, cuz my word makes no progress among u.
Jn 8:38	i talk da tingz dat i’ve seen w da Dad; so also u do da tingz dat u hav heard from da Dad." 

Jn 8:39	They answered n said 2 him, "Abe is our dad!" Jesus said 2 them, "If u r kids of Abe, do da deeds of Abe!
Jn 8:40	But now u r seeking 2 kill me, a man who spoke 2 u da truth which i heard from God. Dis Abe didn't do.
Jn 8:41	U r doin’ da deeds of yo dad!" 
 They said 2 him, "We weren't born from sexual immorality! We hav 1 dad, God!"
Jn 8:42	Jesus said 2 them, "If God were yo dad, u would luv me, cuz i’ve come forth from God n hav come. Cuz i haven't come from myself, but dat 1 sent me.
Jn 8:43	Y do u not understand my wae of talkin’? Cuz u aren’t able 2 listen 2 my msg.
Jn 8:44	U r of yo dad da devil, n u wanna do da desires of yo dad! Dat 1 wuz a murderer from da beginning, n doesn't stand firm in da truth, cuz truth isn’t in him. Whenever he speaks da lie, he speaks from his own nature, cuz he’s a liar n da dad of lies.
Jn 8:45	But cuz im telling da truth, u don’t believe me.
Jn 8:46	Who among u convicts me abt sin? If im telling da truth, y do u not believe me?
Jn 8:47	Da 1 who is from God listens 2 da words of God. Cuz of dis u don’t listen--cuz u aren’t of God." 

Jn 8:48	Da Jews answered n said 2 him, "Do we not correctly say dat u r a Samaritan n hav a demon?"
Jn 8:49	Jesus replied, "i don’t hav a demon, but i honor my Dad, n u dishonor me!
Jn 8:50	But i don’t seek my own glory. There is 1 who seeks n judges!
Jn 8:51	Fr, tbh, if anyone keeps my word, he’ll never experience death 4ever." 

Jn 8:52	Da Jews said 2 him, "Now we kno dat u hav a demon! Abe n da prophets died, n u say, 'If anyone keeps my word, he’ll never taste death 4ever.'
Jn 8:53	U aren’t better than our dad Abe who died, r u? And da prophets died! Who do u make yoself 2 be?"
Jn 8:54	Jesus replied, "If i glorify myself, my glory is nothin’. Da 1 who glorifies me is my Dad, 'bout whom u say, 'He is our God.'
Jn 8:55	And u haven't known him, but i kno him. And if i were 2 say dat idk him, i’d be a liar like u! But i kno him n i keep his word.
Jn 8:56	Abe yo dad rejoiced dat he’d c my day, n he saw it n wuz glad." 

Jn 8:57	So da Jews said 2 him, "U aren’t yet fifty yrs old, n hav u seen Abe?"
Jn 8:58	Jesus said 2 them, "Fr, tbh, b4 Abe wuz, im!"
Jn 8:59	Then they picked up stones in order 2 yeet them at him. But Jesus wuz hidden n went out of da temple courts. 


CHAPTER 9
Jn 9:1	And as he went away, he saw a man blind from birth.
Jn 9:2	And his homeboys asked him, sayin’, "Rabbi, who sinned, dis man or his parents, dat he shud be born blind?"
Jn 9:3	Jesus replied, "Neither dis man sinned nor his parents, but it happened so dat da works of God could be revealed in him.
Jn 9:4	It’s necessary 4 us 2 do da deeds of da 1 who sent me while it’s day; night is comin’, when nobody can work!
Jn 9:5	While im in da world, im da light of da world."
Jn 9:6	When he had said deez tingz, he spat on da ground n made clay w da saliva, n smeared da clay on his eyes.
Jn 9:7	And he said 2 him, "Go, wash in da pool of Siloam" (which is translated "sent"). So he went n washed n came back seeing. 

Jn 9:8	Then da bros n those who saw him previously (cuz he wuz a beggar) began 2 say, "Is dis man not da 1 who used 2 sit n beg?"
Jn 9:9	Others were sayin’, "It’s dis man"; others were sayin’, "No, but he’s like him." Dat 1 wuz sayin’, "im he!"
Jn 9:10	So they began 2 tell him, "How were yo eyes opened?"
Jn 9:11	He replied, "Da man who is called Jesus made clay n smeared it on my eyes n said 2 me, 'Go 2 Siloam n wash!' So i went, n i washed, n i received sight."
Jn 9:12	And they said 2 him, "Where is dat man?" He said, "idk." 

Jn 9:13	They brought him--da 1 formerly blind--2 da Pharisees.
Jn 9:14	(Now da day on which Jesus made da clay n opened his eyes wuz da Sabbath.)
Jn 9:15	So da Pharisees also were asking him again how he received sight. And he said 2 them, "He put clay on my eyes, n i washed, n i c."
Jn 9:16	So some of da Pharisees were sayin’, "Dis man isn’t from God, cuz he doesn't observe da Sabbath!" Others were sayin’, "How can a man who is a sinner perform such signs?" And there wuz a division among them.
Jn 9:17	So they said 2 da blind man again, "Wut do u say 'bout him, cuz he opened yo eyes?" And he said, "He is a prophet." 

Jn 9:18	So da Jews didn't believe abt him dat he had been blind n received sight, until they summoned da parents of da 1 who received sight.
Jn 9:19	And they asked them, sayin’, "Is dis man yo son, whom u say wuz born blind? Then how does he now c?"
Jn 9:20	So his parents answered n said, "We kno dat dis man is our son, n dat he wuz born blind.
Jn 9:21	But how he now sees we dunno, or who opened his eyes we dunno. Ask him! He is a mature adult; he’ll talk 4 himself!"
Jn 9:22	(His parents said deez tingz cuz they were afraid of da Jews, 4 da Jews had already decided dat if anyone shud confess him 2 be Christ, he’d be expelled from da synagogue.
Jn 9:23	Cuz of dis his parents said, "He is a mature adult; ask him.") 

Jn 9:24	So they summoned da man who had been blind 4 da 2nd time n said 2 him, "Give glory 2 God! We kno dat dis man is a sinner!"
Jn 9:25	Then dat man replied, "Whether he’s a sinner idk. 1 thang i kno--dat even tho i wuz blind, now i c!"
Jn 9:26	So they said 2 him, "Wut did he do 2 u? How did he open yo eyes?"
Jn 9:27	He replied 2 them, "i told u already n u didn't listen! Y do u wanna hear it again? U don’t wanna become his homies also, do u?"
Jn 9:28	They reviled him n said, "U r his homie! But we're homies of Moe!
Jn 9:29	We kno dat God haz spoken 2 Moe, but we dunno where dis man is from."
Jn 9:30	Da man answered n said 2 them, "Cuz da remarkable thang is dis, dat u dunno where he’s from, n he opened my eyes!
Jn 9:31	We kno dat God doesn't listen 2 sinners, but if someone’s devout n does wut he wants, he listens 2 dis 1.
Jn 9:32	From time immemorial it hasn't been heard dat someone opened da eyes of 1 born blind.
Jn 9:33	If dis man weren't from God, he’d not be able 2 do anythin’!"
Jn 9:34	They answered n said 2 him, "U were born totally in sin, n r u attempting 2 teach us?" And they yote him out. 

Jn 9:35	Jesus heard dat they had yeeted him out, n finding him, he said, "Do u believe in da Son of Man?"
Jn 9:36	He answered n said, "And who is he, sir, dat i may believe in him?"
Jn 9:37	Jesus said 2 him, "U hav both seen him, n he’s da 1 who is talkin’ w u." [[
Jn 9:38	And he said, "i believe, Lord!" n he worshiped him.
Jn 9:39	And Jesus said,]] "Cuz judgment i’ve come into dis world, so dat those who don’t c may c, n those who c may become blind!"
Jn 9:40	Some of da Pharisees who were w him heard deez tingz n said 2 him, "We aren’t also blind, r we?"
Jn 9:41	Jesus said 2 them, "If u were blind, u wouldn’t’ve sin. But now u say, 'We c,' yo sin remains. 


CHAPTER 10
Jn 10:1	"Fr, tbh, da 1 who doesn't enter thru da door into da fold of da sheep, but climbs up at some other place--dat 1 is a thief n a robber.
Jn 10:2	But da 1 who enters thru da door is da shepherd of da sheep.
Jn 10:3	Cuz of dis 1 da doorkeeper opens, n da sheep hear his voice, n he calls his own sheep by name n leads them out.
Jn 10:4	Whenever he sends out all his own, he goes b4 them, n da sheep follow him cuz they kno his voice.
Jn 10:5	And they’ll never follow a stranger, but will flee from him, cuz they dunno da voice of strangers."
Jn 10:6	Jesus told them dis parable, but they didn't understand wut 'twas dat he wuz sayin’ 2 them. 

Jn 10:7	Then Jesus said 2 them again, "Fr, fr, i tell u, im da door of da sheep.
Jn 10:8	All those who came b4 me r thieves n robbers, but da sheep don’t listen 2 them.
Jn 10:9	im da door. If anyone enters thru me, he gonna be saved, n will come in n will go out n will find pasture.
Jn 10:10	Da thief comes only so dat he can steal n kill n destroy; i’ve come so dat they may hav lyf, n hav it abundantly. 

Jn 10:11	"im da gud shepherd. Da gud shepherd lays down his lyf 4 da sheep.
Jn 10:12	Da hired hand, who isn’t da shepherd, whose own da sheep aren’t, sees da wolf approaching n abandons da sheep n runs away--n da wolf seizes them n scatters them--
Jn 10:13	cuz he’s a hired hand n he’s not concerned 'bout da sheep. 

Jn 10:14	"im da gud shepherd, n i kno my own, n my own kno me,
Jn 10:15	just like da Dad knows me n i kno da Dad, n i lay down my lyf 4 da sheep.
Jn 10:16	And i’ve other sheep which aren’t from dis fold. i must bring deez also, n they’ll hear my voice, n they’ll become 1 flock--1 shepherd.
Jn 10:17	Cuz of dis da Dad luvs me, cuz i lay down my lyf so dat i may take possession of it again.
Jn 10:18	No 1 takes it from me, but i lay it down voluntarily. i’ve authority 2 lay it down, n i’ve authority 2 take possession of it again. Dis rule i received from my Dad." 

Jn 10:19	Again there wuz a division among da Jews cuz of deez words.
Jn 10:20	And many of them were sayin’, "He haz a demon n is out of his mind! Y do u listen 2 him?"
Jn 10:21	Others were sayin’, "Deez aren’t da words of 1 who is possessed by a demon! A demon isn’t able 2 open da eyes of da blind, is it?" 

Jn 10:22	Then da feast of da Dedication took place in Jerusalem. It wuz winter,
Jn 10:23	n Jesus wuz walking in da temple in da Portico of Solomon.
Jn 10:24	So da Jews surrounded him n began 2 tell him, "How long will u keep us in suspense? If u r da Christ, tell us straight!"
Jn 10:25	Jesus answered them, "i told u n u don’t believe! Da deeds dat i do in da name of my Dad, deez testify 'bout me.
Jn 10:26	But u don’t believe, cuz u aren’t of my sheep!
Jn 10:27	My sheep listen 2 my voice, n i kno them, n they follow me.
Jn 10:28	And i give them lyf 4ever, n they’ll never die 4ever, n nobody will seize them out of my hand.
Jn 10:29	My Dad, who haz given them 2 me, is better than all, n nobody can seize them from da Dad's hand.
Jn 10:30	Da Dad n i r 1." 

Jn 10:31	Then da Jews picked up stones again so dat they could stone him.
Jn 10:32	Jesus answered them, "i’ve shown u many gud deeds from da Dad. Cuz which 1 of them r u goin’ 2 stone me?"
Jn 10:33	Da Jews answered him, "We aren’t goin’ 2 stone u abt a gud deed, but abt blasphemy, n cuz u, even tho u r a man, make yoself 2 be God!"
Jn 10:34	Jesus answered them, "Is it not written in yo law, 'i said, "U r gods" '?
Jn 10:35	If he called them 'gods' 2 whom da word of God came--n da scripture can’t be broken--
Jn 10:36	do u say 'bout he whom da Dad set apart n sent into da world, 'U r blaspheming,' cuz i said, 'im da Son of God'?
Jn 10:37	If i don’t do da deeds of my Dad, don’t believe me.
Jn 10:38	But if im doin’ them, even if u don’t believe me, believe da deeds, so dat u may kno n understand dat da Dad is in me n im in da Dad."
Jn 10:39	So they were seeking again 2 seize him, n he departed out of their hand. 

Jn 10:40	And he went away again on da other side of da Jordan, 2 da place where Johnny wuz baptizin’ at an earlier time, n he stayed there.
Jn 10:41	And many came 2 him n began 2 say, "Johnny performed no sign, but everythin’ Johnny said 'bout dis man wuz tru!"
Jn 10:42	And many believed in him there. 


CHAPTER 11
Jn 11:1	Now a certain man wuz sick, Lazarus from Bethany, da village of Mary n her sister Martha.
Jn 11:2	(Now 'twas Mary who anointed da Lord w perfumed oil n wiped his feet w her hair, whose bro Lazarus wuz sick.)
Jn 11:3	So da sisters sent word 2 him, sayin’, "Lord, look, da 1 whom u luv is sick."
Jn 11:4	And when he heard it, Jesus said, "Dis sickness isn’t 2 death, but 4 da glory of God, so dat da Son of God may be glorified thru it."
Jn 11:5	(Now Jesus luvd Martha n her sister n Lazarus.)
Jn 11:6	So when he heard dat he wuz sick, then he remained in da place where he wuz 2 days. 

Jn 11:7	Then after dis he said 2 da homies, "Let us go 2 Judea again."
Jn 11:8	Da homeboys said 2 him, "Rabbi, da Jews were seeking just now 2 stone u, n r u goin’ there again?"
Jn 11:9	Jesus replied, R there not 12 hrs in da day? If anyone walks around in da daylight, he doesn't stumble, cuz he sees da light of dis world.
Jn 11:10	But if anyone walks around in da night, he stumbles, cuz da light isn’t in him.
Jn 11:11	He said deez tingz, n after dis he said 2 them, "Our friend Lazarus haz fallen asleep, but im goin’ so dat i can awaken him."
Jn 11:12	So da homeboys said 2 him, "Lord, if he’s fallen asleep, he’ll get well."
Jn 11:13	(Now Jesus had been talkin’ 'bout his death, but they thought dat he wuz talkin’ 'bout real sleep.)
Jn 11:14	So Jesus then said 2 them straight, "Lazarus haz died,
Jn 11:15	n im glad 4 yo sake dat i wasn’t there, so dat u may believe. But let’s go 2 him."
Jn 11:16	Then Tommy (da 1 who is called Didymus) said 2 his fellow homies, "Let us go also, so dat we may die w him." 

Jn 11:17	So when he arrived, Jesus found he had already been 4 days in da tomb.
Jn 11:18	(Now Bethany wuz near Jerusalem, 'bout 15 stadia.
Jn 11:19	So many of da Jews came 2 Martha n Mary in order 2 console them abt their bro.)
Jn 11:20	Now Martha, when she heard dat Jesus wuz comin’, went 2 meet him, but Mary wuz sitting in da house.
Jn 11:21	So Martha said 2 Jesus, "Lord, if u had been here, my bro wouldn’t’ve died.
Jn 11:22	Even now i kno dat whatever u ask God, God will grant u."
Jn 11:23	Jesus said 2 her, "Yo bro will rise again."
Jn 11:24	Martha said 2 him, "i kno dat he’ll rise again in da resurrection at da last day."
Jn 11:25	Jesus said 2 her, "im da resurrection n da lyf. Da 1 who believes in me, even if he dies, will live,
Jn 11:26	n e’erybody who lives n believes in me will never die 4ever. Do u believe dis?"
Jn 11:27	She said 2 him, "Yeah, Lord, i’ve believed dat u r da Christ, da Son of God, who comes into da world." 

Jn 11:28	And when she had said dis, she went n called her sister Mary privately, sayin’, "Da Teacher is here n is calling 4 u."
Jn 11:29	So dat 1, when she heard it, got up quickly n went 2 him.
Jn 11:30	(Now Jesus hasn't yet come into da village, but wuz still in da place where Martha went 2 meet him.)
Jn 11:31	So da Jews who were w her in da house n were consoling her, when they saw Mary--dat she stood up quickly n went out--followed her, cuz they thought dat she wuz goin’ 2 da tomb in order 2 cri there. 

Jn 11:32	Then Mary, when she came where Jesus wuz n saw him, fell at his feet, sayin’ 2 him, "Lord, if u had been here, my bro wouldn’t’ve died."
Jn 11:33	Then Jesus, when he saw her weepin’ n da Jews who came w her weepin’, wuz deeply moved in spirit n wuz troubled within himself.
Jn 11:34	And he said, "Where hav u laid him?" They said 2 him, "Lord, come n c."
Jn 11:35	Jesus cried.
Jn 11:36	So da Jews were sayin’, "C how he luvd him!"
Jn 11:37	But some of them said, "Wuz not dis man who opened da eyes of da blind able 2 do somethin’ so dat dis man also wouldn’t’ve died?" 

Jn 11:38	Then Jesus, deeply moved within himself again, came 2 da tomb. Now 'twas a cave, n a stone wuz lying on it.
Jn 11:39	Jesus said, "Take away da stone." Martha, da sister of da 1 who had died, said 2 him, "Lord, he’s stinking already, cuz it’s been 4 days."
Jn 11:40	Jesus said 2 her, "Did i not tell u dat if u believed, u would c da glory of God?"
Jn 11:41	So they took away da stone. And Jesus lifted up his eyes above n said, "Dad, i give thanks 2 u dat u hear me.
Jn 11:42	And i kno dat u always hear me, but 4 da sake of da crowd standing around i said it, so dat they may believe dat u sent me."
Jn 11:43	And when he had said deez tingz, he cried out w a loud voice, "Lazarus, come out!"
Jn 11:44	Da 1 who had died came out, his feet n his hands bound w strips of cloth, n his face wrapped w a facecloth. Jesus said 2 them, "Untie him n let him go." 

Jn 11:45	Then many of da Jews who had come w Mary n saw da tingz which he did believed in him.
Jn 11:46	But some of them went 2 da Pharisees n told them da tingz which Jesus had done.
Jn 11:47	So da chief priests n da Pharisees called together da Sanhedrin n said, "Wut r we doin’? Cuz of dis man is performing many signs!
Jn 11:48	If we allow him 2 go on in dis wey, e’erybody will believe in him, n da Romans will come n take away both our place n our nation." 

Jn 11:49	But a certain 1 of them, Caiaphas (who wuz high priest in dat yr), said 2 them, "U dunno anythin’ at all!
Jn 11:50	Nor do u consider dat it’s profitable 4 u dat 1 man shud die 4 da ppl, n da whole nation not die."
Jn 11:51	(Now he didn't say dis from himself, but bein’ high priest in dat yr, he prophesied dat Jesus wuz goin’ 2 die 4 da nation,
Jn 11:52	n not 4 da nation only, but also dat da kids of God who r scattered would be gathered into 1.)
Jn 11:53	So from dat day they resolved dat they shud kill him.
Jn 11:54	So Jesus wuz no longer walking openly among da Jews, but went away from there 2 da region near da wilderness, 2 a city called Ephraim, n there he stayed w da homies. 

Jn 11:55	Now da Passover of da Jews wuz near, n many went up 2 Jerusalem from da surrounding country b4 da Passover, so dat they could purify themselves.
Jn 11:56	So they were looking 4 Jesus, n were talkin’ w 1 anotha while standing in da temple courts, "Wut do u think? Dat he’ll not come 2 da feast?"
Jn 11:57	(Now da chief priests n da Pharisees had given orders dat if anyone knew where he wuz, they shud report it, so dat they could arrest him.) 


CHAPTER 12
Jn 12:1	Then, 6 days b4 da Passover, Jesus came 2 Bethany, where Lazarus wuz, whom Jesus had raised from da ded.
Jn 12:2	So they made him a dinner there, n Martha wuz serving, but Lazarus wuz 1 of da ones reclining at table w him.
Jn 12:3	Then Mary took a pound of ointment of valuable af genuine nard n anointed da feet of Jesus, n wiped his feet w her hair. And da house wuz filled w da fragrance of da ointment.
Jn 12:4	But Judas Iscariot, 1 of his homeboys (da 1 who wuz goin’ 2 betray him) said,
Jn 12:5	"Y wuz dis ointment not sold 4 3 hundred denarii n given 2 da poor?"
Jn 12:6	(Now he said dis not cuz he wuz concerned 'bout da poor, but cuz he wuz a thief, n having da money box, he used 2 steal wut wuz put into it.)
Jn 12:7	So Jesus said, "Leave her alone, so dat she may keep it 4 da day of my preparation 4 burial.
Jn 12:8	Cuz u hav da poor w u always, but u don’t always hav me." 

