----------------------------------------------------------------------------------------------
MATTHEW
----------------------------------------------------------------------------------------------

CHAPTER 1
Mt 1:1	The book of the genealogy of Jesus Christ, the son of David, the son of Abraham. 
Mt 18:5	and whoever welcomes one child such as this in my name welcomes me.
Mt 18:6	But whoever causes one of these little ones who believe in me to sin, it would be better for him that a large millstone be hung on his neck and he be drowned in the depths of the sea.
Mt 18:7	Woe to the world because of causes for stumbling, for it is a necessity that causes for stumbling come; nevertheless, woe to the person through whom the cause for stumbling comes.
Mt 18:8	And if your hand or your foot causes you to sin, cut it off and throw it from you! It is better for you to enter into life crippled or lame than, having two hands or two feet, to be thrown into the eternal fire!
Mt 18:9	And if your eye causes you to sin, tear it out and throw it from you! It is better for you to enter into life one-eyed than, having two eyes, to be thrown into fiery hell! 

Mt 18:10	"See to it that you do not despise one of these little ones, for I tell you that their angels in heaven constantly see the face of my Father who is in heaven.
Mt 18:12	What do you think? If a certain man has a hundred sheep, and one of them wanders away, will he not leave the ninety-nine on the hills and go and look for the one that wandered away?
Mt 18:13	And if he happens to find it, truly I say to you that he rejoices over it more than over the ninety-nine that did not wander away.
Mt 18:14	In the same way it is not the will of your Father who is in heaven that one of these little ones perish. 

Mt 18:15	"Now if your brother sins against you, go correct him between you and him alone. If he listens to you, you have gained your brother.
Mt 18:16	But if he does not listen, take with you in addition one or two others, so that by the testimony of two or three witnesses every matter may be established.
Mt 18:17	And if he refuses to listen to them, tell it to the church. But if he refuses to listen to the church also, let him be to you as a Gentile and a tax collector. 

Mt 18:18	"Truly I say to you, whatever you bind on earth will be bound in heaven, and whatever you release on earth will be released in heaven.
Mt 18:19	Again, truly I say to you that if two of you agree on earth about any matter that they ask, it will be done for them from my Father who is in heaven.
Mt 18:20	For where two or three are gathered in my name, I am there in the midst of them." 

Mt 18:21	Then Peter came up to him and said, "Lord, how many times will my brother sin against me and I will forgive him? Up to seven times?"
Mt 18:22	Jesus said to him, "I do not say to you up to seven times, but up to seventy times seven! 

Mt 18:23	"For this reason the kingdom of heaven may be compared to a man--a king--who wanted to settle accounts with his slaves.
Mt 18:24	And when he began to settle them, someone was brought to him who owed ten thousand talents.
Mt 18:25	And because he did not have enough to repay it, the master ordered him to be sold, and his wife and his children and everything that he had, and to be repaid.
Mt 18:26	Then the slave threw himself to the ground and began to do obeisance to him, saying, 'Be patient with me, and I will pay back everything to you!'
Mt 18:27	So the master of that slave, because he had compassion, released him and forgave him the loan.
Mt 18:28	But that slave went out and found one of his fellow slaves who owed him a hundred denarii, and taking hold of him, he began to choke him, saying, 'Pay back everything that you owe!'
Mt 18:29	Then his fellow slave threw himself to the ground and began to implore him, saying, 'Be patient with me and I will repay you!'
Mt 18:30	But he did not want to, but rather he went and threw him into prison until he would repay what was owed.
Mt 18:31	So when his fellow slaves saw what had happened, they were extremely distressed, and went and reported to their master everything that had happened.
Mt 18:32	Then his master summoned him and said to him, 'Wicked slave! I forgave you all that debt because you implored me!
Mt 18:33	Should you not also have shown mercy to your fellow slave as I also showed mercy to you?'
Mt 18:34	And because he was angry, his master handed him over to the merciless jailers until he would repay everything that was owed.
Mt 18:35	So also my heavenly Father will do to you, unless each of you forgives his brother from your hearts!" 


CHAPTER 19
Mt 19:1	And it happened that when Jesus had finished these statements, he went away from Galilee and came into the region of Judea on the other side of the Jordan.
Mt 19:2	And large crowds followed him, and he healed them there.
Mt 19:3	And Pharisees came up to him in order to test him, and asked if it was permitted for a man to divorce his wife for any cause.
Mt 19:4	And he answered and said, "Have you not read that the one who created them from the beginning made them male and female
Mt 19:5	and said, 'On account of this a man will leave his father and his mother and will be joined to his wife, and the two will become one flesh'?
Mt 19:6	So then, they are no longer two but one flesh. Therefore what God has joined together, man must not separate."
Mt 19:7	They said to him, "Why then did Moses command us to give a document--a certificate of divorce--and to divorce her?"
Mt 19:8	He said to them, "Moses, with reference to your hardness of heart, permitted you to divorce your wives, but from the beginning it was not like this.
Mt 19:9	Now I say to you that whoever divorces his wife, except on the basis of sexual immorality, and marries another commits adultery, and whoever marries her who is divorced commits adultery." 

Mt 19:10	The disciples said to him, "If this is the case of a man with his wife, it would be better not to marry!"
Mt 19:11	But he said to them, "Not everyone can accept this saying but those to whom it has been given.
Mt 19:12	For there are eunuchs who were born as such from their mother's womb, and there are eunuchs who were made eunuchs by people, and there are eunuchs who have made themselves eunuchs for the sake of the kingdom of heaven. The one who is able to accept this, let him accept it." 

Mt 19:13	Then children were brought to him so that he could lay his hands on them and pray, but the disciples rebuked them.
Mt 19:14	But Jesus said, "Allow the children, and do not forbid them to come to me, for to such belongs the kingdom of heaven."
Mt 19:15	And he laid his hands on them and traveled on from there. 

Mt 19:16	And behold, someone came up to him and said, "Teacher, what good thing must I do so that I will have eternal life?"
Mt 19:17	And he said to him, "Why are you asking me about what is good? There is one who is good. But if you want to enter into life, keep the commandments!"
Mt 19:18	He said to him, "Which ones?" And Jesus said, "Do not commit murder, do not commit adultery, do not steal, do not give false testimony,
Mt 19:19	honor your father and your mother, and love your neighbor as yourself."
Mt 19:20	The young man said to him, "All these I have observed. What do I still lack?"
Mt 19:21	Jesus said to him, "If you want to be perfect, go, sell your possessions and give the proceeds to the poor--and you will have treasure in heaven--and come, follow me."
Mt 19:22	But when the young man heard the statement, he went away sorrowful, because he was one who had many possessions. 

Mt 19:23	And Jesus said to his disciples, "Truly I say to you that with difficulty a rich person will enter into the kingdom of heaven!
Mt 19:24	And again I say to you, it is easier for a camel to go through the eye of a needle than a rich person into the kingdom of God."
Mt 19:25	So when the disciples heard this, they were extremely amazed, saying, "Then who can be saved?"
Mt 19:26	But Jesus looked at them and said to them, "With human beings this is impossible, but with God all things are possible."
Mt 19:27	Then Peter answered and said to him, "Behold, we have left everything and followed you. What then will there be for us?"
Mt 19:28	And Jesus said to them, "Truly I say to you that in the renewal of the world, when the Son of Man sits on his glorious throne, you who have followed me--you also will sit on twelve thrones judging the twelve tribes of Israel.
Mt 19:29	And everyone who has left houses or brothers or sisters or father or mother or wife or children or fields on account of my name will receive a hundred times as much, and will inherit eternal life.
Mt 19:30	But many who are first will be last, and the last first. 


CHAPTER 20
Mt 20:1	"For the kingdom of heaven is like a man--the master of the house--who went out early in the morning to hire workers for his vineyard.
Mt 20:2	And after coming to an agreement with the workers for a denarius per day, he sent them into his vineyard.
Mt 20:3	And going out about the third hour, he saw others standing idle in the marketplace.
Mt 20:4	And to those people he said, 'You also go into the vineyard, and I will give you whatever is right.'
Mt 20:5	So they went. Going out again about the sixth and ninth hour he did the same thing.
Mt 20:6	And about the eleventh hour he went out and found others standing there and said to them, 'Why are you standing here the whole day unemployed?'
Mt 20:7	They said to him, 'Because no one hired us.' He said to them, 'You go also into the vineyard.'
Mt 20:8	And when evening came, the owner of the vineyard said to his manager, 'Call the workers and pay them their wages, beginning from the last up to the first.'
Mt 20:9	And when the ones hired about the eleventh hour came, they received a denarius apiece.
Mt 20:10	And when the first came, they thought that they would receive more, and they also received a denarius apiece.
Mt 20:11	And when they received it, they began to complain against the master of the house,
Mt 20:12	saying, 'These last people worked one hour and you made them equal to us who have endured the burden of the day and the burning heat!'
Mt 20:13	But he answered one of them and said, 'Friend, I am not doing you wrong. Did you not come to an agreement with me for a denarius?
Mt 20:14	Take what is yours and go! But I want to give to this last person the same as I gave to you also.
Mt 20:15	Is it not permitted for me to do whatever I want with what is mine? Or is your eye evil because I am generous?'
Mt 20:16	Thus the last will be first and the first last." 

Mt 20:17	And as Jesus was going up to Jerusalem, he took the twelve disciples by themselves and said to them on the way,
Mt 20:18	"Behold, we are going up to Jerusalem, and the Son of Man will be handed over to the chief priests and scribes, and they will condemn him to death,
Mt 20:19	and will hand him over to the Gentiles to mock him and flog him and crucify him, and on the third day he will be raised." 

Mt 20:20	Then the mother of the sons of Zebedee came up to him with her sons, and kneeling down she asked something from him.
Mt 20:21	And he said to her, "What do you want?" She said to him, "Say that these two sons of mine may sit one at your right hand and one at your left in your kingdom."
Mt 20:22	But Jesus answered and said, "You do not know what you are asking! Are you able to drink the cup that I am about to drink?" They said to him, "We are able."
Mt 20:23	He said to them, "You will indeed drink my cup, but to sit at my right hand and at my left is not mine to grant, but is for those for whom it has been prepared by my Father." 

Mt 20:24	And when the ten heard this, they were indignant concerning the two brothers.
Mt 20:25	But Jesus called them to himself and said, "You know that the rulers of the Gentiles lord it over them, and those in high positions exercise authority over them.
Mt 20:26	It will not be like this among you! But whoever wants to become great among you must be your servant,
Mt 20:27	and whoever wants to be most prominent among you must be your slave--
Mt 20:28	just as the Son of Man did not come to be served, but to serve, and to give his life as a ransom for many." 

Mt 20:29	And as they were going out of Jericho, a large crowd followed him.
Mt 20:30	And behold, there were two blind men sitting beside the road. When they heard that Jesus was passing by, they called out, saying, "Lord, have mercy on us, Son of David!"
Mt 20:31	And the crowd rebuked them so that they would be quiet. But they called out all the more, saying, "Lord, have mercy on us, Son of David!"
Mt 20:32	And Jesus stopped, called them, and said, "What do you want me to do for you?"
Mt 20:33	They said to him, "Lord, that our eyes be opened!"
Mt 20:34	And having compassion, Jesus touched their eyes, and immediately they received their sight and followed him. 


CHAPTER 21
Mt 21:1	And when they drew near to Jerusalem and came to Bethphage at the Mount of Olives, then Jesus sent two disciples,
Mt 21:2	saying to them, "Go into the village before you, and right away you will find a donkey tied and a colt with her. Untie them and bring them to me.
Mt 21:3	And if anyone says anything to you, you will say, 'The Lord needs them,' and he will send them at once."
Mt 21:4	Now this took place so that what was spoken through the prophet would be fulfilled, saying, 

Mt 21:5	"Say to the daughter of Zion, 'Behold, your king is coming to you, humble and mounted on a donkey, and on a colt, the foal of a pack animal.'"

Mt 21:6	So the disciples went and did just as Jesus directed them,
Mt 21:7	and brought the donkey and the colt and put their cloaks on them, and he sat on them.
Mt 21:8	And a very large crowd spread their cloaks on the road, and others were cutting branches from the trees and spreading them on the road.
Mt 21:9	And the crowds who went ahead of him and the ones who followed were shouting, saying, 
 "Hosanna to the Son of David! Blessed is the one who comes in the name of the Lord! Hosanna in the highest heaven!"

Mt 21:10	And when he entered into Jerusalem, the whole city was stirred up, saying, "Who is this?"
Mt 21:11	And the crowds were saying, "This is the prophet Jesus from Nazareth of Galilee!" 

Mt 21:12	And Jesus entered the temple courts and drove out all those who were selling and buying in the temple, and overturned the tables of the money changers and the chairs of those who were selling doves.
Mt 21:13	And he said to them, "It is written, 'My house will be called a house of prayer,' but you have made it a cave of robbers!" 

Mt 21:14	And the blind and the lame came up to him in the temple courts and he healed them.
Mt 21:15	But when the chief priests and the scribes saw the wonderful things that he did, and the children shouting in the temple courts and saying, "Hosanna to the Son of David!" they were indignant.
Mt 21:16	And they said to him, "Do you hear what these children are saying?" So Jesus said to them, "Yes, have you never read, 'Out of the mouths of children and nursing babies you have prepared for yourself praise'?"
Mt 21:17	And leaving them, he went outside of the city to Bethany and spent the night there. 

Mt 21:18	Now early in the morning, as he was returning to the city, he was hungry.
Mt 21:19	And seeing a single fig tree by the road, he went to it and found nothing on it except leaves only. And he said to it, "May there be no more fruit from you forever, and the fig tree withered at once.
Mt 21:20	And when they saw it, the disciples were astonished, saying, "How did the fig tree wither at once?"
Mt 21:21	And Jesus answered and said to them, "Truly I say to you, if you have faith and do not doubt, you will do not only what was done to the fig tree, but even if you say to this mountain, 'Be lifted up and thrown into the sea," it will happen!
Mt 21:22	And whatever you ask in prayer, if you believe, you will receive." 

Mt 21:23	And after he arrived at the temple, the chief priests and the elders of the people came up to him while he was teaching, saying, "By what authority are you doing these things? And who gave you this authority?"
Mt 21:24	And Jesus answered and said to them, "I also will ask you one question. If you tell the answer to me, I also will tell you by what authority I am doing these things.
Mt 21:25	From where was the baptism of John--from heaven or from men?" And they began to discuss this among themselves, saying, "If we say 'From heaven,' he will say to us, 'Why then did you not believe him?'
Mt 21:26	But if we say, 'From men,' we are afraid of the crowd, because they all look upon John as a prophet."
Mt 21:27	And they answered and said to Jesus, "We do not know." And he said to them, "Neither will I tell you by what authority I am doing these things. 

Mt 21:28	"Now what do you think? A man had two sons. He approached the first and said, 'Son, go work in the vineyard today.'
Mt 21:29	And he answered and said, 'I do not want to!' But later he changed his mind and went.
Mt 21:30	And he approached the second and said the same thing. So he answered and said, 'I will, sir,' and he did not go.
Mt 21:31	Which of the two did the will of his father?" They said, "The first." Jesus said to them, "Truly I say to you that the tax collectors and the prostitutes are going ahead of you into the kingdom of God!
Mt 21:32	For John came to you in the way of righteousness and you did not believe him, but the tax collectors and the prostitutes did believe him. And when you saw it, you did not even change your minds later so as to believe in him. 

Mt 21:33	"Listen to another parable: There was a man--a master of a house--who planted a vineyard, and put a fence around it, and dug a winepress in it, and built a watchtower, and leased it to tenant farmers, and went on a journey.
Mt 21:34	And when the season of fruit drew near, he sent his slaves to the tenant farmers to collect his fruit.
Mt 21:35	And the tenant farmers seized his slaves, one of whom they beat, and one of whom they killed, and one of whom they stoned.
Mt 21:36	Again, he sent other slaves, more than the first ones, and they did the same thing to them.
Mt 21:37	So finally he sent his son to them, saying, 'They will respect my son.'
Mt 21:38	But when the tenant farmers saw the son, they said among themselves, 'This is the heir. Come, let us kill him and have his inheritance!'
Mt 21:39	And they seized him and threw him out of the vineyard and killed him.
Mt 21:40	Now when the master of the vineyard arrives, what will he do to those tenant farmers?"
Mt 21:41	They said to him, "He will destroy those evil men completely and lease the vineyard to other tenant farmers who will give him the fruits in their season."
Mt 21:42	Jesus said to them, "Have you never read in the scriptures, 
 'The stone which the builders rejected, this has become the cornerstone. This came about from the Lord, and it is marvelous in our eyes'?

Mt 21:43	For this reason, I tell you that the kingdom of God will be taken away from you and will be given to a people who produce its fruits.
Mt 21:44	And the one who falls on this stone will be broken to pieces, and the one on whom it falls--it will crush him!"
Mt 21:45	And when the chief priests and the Pharisees heard his parables, they knew that he was speaking about them,
Mt 21:46	and although they wanted to arrest him, they were afraid of the crowds, because they looked upon him as a prophet. 


CHAPTER 22
Mt 22:1	And continuing, Jesus spoke to them again in parables, saying,
Mt 22:2	"The kingdom of heaven may be compared to a man--a king--who gave a wedding celebration for his son.
Mt 22:3	And he sent his slaves to summon those who had been invited to the wedding celebration, and they did not want to come.
Mt 22:4	Again he sent other slaves, saying, 'Tell those who have been invited, "Behold, I have prepared my dinner; my oxen and fattened cattle have been slaughtered, and everything is ready. Come to the wedding celebration!" '
Mt 22:5	But they paid no attention and went away--this one to his own field, that one to his business.
Mt 22:6	And the others, seizing his slaves, mistreated them and killed them.
Mt 22:7	And the king was angry and sent his troops and destroyed those murderers and burned their city.
Mt 22:8	Then he said to his slaves, 'The wedding celebration is ready, but those who had been invited were not worthy.
Mt 22:9	Therefore, go out to the places where the roads exit the city and invite to the wedding celebration as many people as you find.'
Mt 22:10	And those slaves went out into the roads and gathered everyone whom they found, both evil and good, and the wedding celebration was filled with dinner guests.
Mt 22:11	But when the king came in to see the dinner guests, he saw a man there not dressed in wedding clothes.
Mt 22:12	And he said to him, 'Friend, how did you come in here, not having wedding clothes?' But he could say nothing.
Mt 22:13	Then the king said to the servants, 'Tie him up hand and foot and throw him into the outer darkness. In that place there will be weeping and gnashing of teeth!'
Mt 22:14	For many are called but few are chosen." 

Mt 22:15	Then the Pharisees went and consulted so that they could entrap him with a statement.
Mt 22:16	And they sent their disciples to him with the Herodians, saying, "Teacher, we know that you are truthful and teach the way of God in truth, and you do not care what anyone thinks, because you do not regard the opinion of people.
Mt 22:17	Therefore tell us what you think. Is it permitted to pay taxes to Caesar or not?"
Mt 22:18	But because he knew their maliciousness, Jesus said, "Hypocrites! Why are you testing me?
Mt 22:19	Show me the coin for the tax!" So they brought him a denarius.
Mt 22:20	And he said to them, "Whose image and inscription is this?"
Mt 22:21	They said to him, "Caesar's." Then he said to them, "Therefore give to Caesar the things of Caesar, and to God the things of God!"
Mt 22:22	And when they heard this, they were astonished, and they left him and went away. 

Mt 22:23	On that day Sadducees--who say there is no resurrection--came up to him and asked him,
Mt 22:24	saying, "Teacher, Moses said if someone dies without having children, his brother is to marry his wife and father descendants for his brother.
Mt 22:25	Now there were seven brothers with us. And the first died after getting married, and because he did not have descendants, he left his wife to his brother.
Mt 22:26	So also the second and the third, up to the seventh.
Mt 22:27	And last of all the woman died.
Mt 22:28	In the resurrection, therefore, whose wife of the seven will she be? For they all had her as wife."
Mt 22:29	But Jesus answered and said to them, "You are mistaken, because you do not know the scriptures or the power of God!
Mt 22:30	For in the resurrection they neither marry nor are given in marriage, but are like angels of God in heaven.
Mt 22:31	Now concerning the resurrection of the dead, have you not read what was spoken to you by God, who said,
Mt 22:32	"I am the God of Abraham and the God of Isaac and the God of Jacob"? He is not the God of the dead, but of the living!"
Mt 22:33	And when the crowds heard this, they were amazed at his teaching. 

Mt 22:34	Now when the Pharisees heard that he had silenced the Sadducees, they assembled at the same place.
Mt 22:35	And one of them, a legal expert, put a question to him to test him:
Mt 22:36	"Teacher, which commandment is greatest in the law?"
Mt 22:37	And he said to him, " 'You shall love the Lord your God with all your heart and with all your soul and with all your mind.'
Mt 22:38	This is the greatest and first commandment.
Mt 22:39	And the second is like it: 'You shall love your neighbor as yourself.'
Mt 22:40	On these two commandments depend all the law and the prophets." 

Mt 22:41	Now while the Pharisees were assembled, Jesus asked them,
Mt 22:42	saying, "What do you think about the Christ? Whose son is he?" They said to him, "David's."
Mt 22:43	He said to them, "How then does David, by the Spirit, call him 'Lord,' saying, 

Mt 22:44	'The Lord said to my Lord, "Sit at my right hand until I put your enemies under your feet" '?

Mt 22:45	If then David calls him 'Lord,' how is he his son?"
Mt 22:46	And no one was able to answer him a word, nor did anyone dare from that day on to ask him any more questions. 


CHAPTER 23
Mt 23:1	Then Jesus spoke to the crowds and to his disciples,
Mt 23:2	saying, "The scribes and the Pharisees sit on the seat of Moses.
Mt 23:3	Therefore do and observe everything that they tell you, but do not do as they do, for they tell others to do something and do not do it themselves.
Mt 23:4	And they tie up heavy burdens and put them on people's shoulders, but they themselves are not willing with their finger to move them.
Mt 23:5	And they do all their deeds in order to be seen by people, for they make their phylacteries broad and make their tassels long.
Mt 23:6	And they love the place of honor at banquets and the best seats in the synagogues
Mt 23:7	and the greetings in the marketplaces and to be called 'Rabbi' by people.
Mt 23:8	But you are not to be called 'Rabbi,' because one is your teacher, and you are all brothers,
Mt 23:9	And do not call anyone your father on earth, for one is your heavenly Father.
Mt 23:10	And do not be called teachers, because one is your teacher, the Christ.
Mt 23:11	And the greatest among you will be your servant.
Mt 23:12	And whoever exalts himself will be humbled, and whoever humbles himself will be exalted. 

Mt 23:13	"But woe to you, scribes and Pharisees--hypocrites!--because you shut the kingdom of heaven before people! For you do not enter, nor permit those wanting to go in to enter. 

Mt 23:15	"Woe to you, scribes and Pharisees--hypocrites!--because you travel around the sea and the dry land to make one convert, and when he becomes one, you make him twice as much a son of hell as you are! 

Mt 23:16	"Woe to you, blind guides, who say, 'Whoever swears by the temple, it is nothing! But whoever swears by the gold of the temple is bound by his oath.'
Mt 23:17	Fools and blind people! For which is greater, the gold or the temple that makes the gold holy?
Mt 23:18	And, 'Whoever swears by the altar, it is nothing! But whoever swears by the gift that is on it is bound by his oath.'
Mt 23:19	Blind people! For which is greater, the gift or the altar that makes the gift holy?
Mt 23:20	Therefore the one who swears by the altar swears by it and by everything that is on it.
Mt 23:21	And the one who swears by the temple swears by it and by the one who dwells in it.
Mt 23:22	And the one who swears by heaven swears by the throne of God and by the one who sits on it. 

Mt 23:23	"Woe to you, scribes and Pharisees--hypocrites!--because you pay a tenth of mint and dill and cumin, and neglect the more important matters of the law--justice and mercy and faithfulness! It was necessary to do these things while not neglecting those.
Mt 23:24	Blind guides who filter out a gnat and swallow a camel! 

Mt 23:25	"Woe to you, scribes and Pharisees--hypocrites!--because you cleanse the outside of the cup and the dish, but inside they are full of greed and self-indulgence!
Mt 23:26	Blind Pharisee! First clean the inside of the cup and the dish, so that the outside of it may become clean also. 

Mt 23:27	"Woe to you, scribes and Pharisees--hypocrites!--because you are like whitewashed tombs which on the outside appear beautiful, but on the inside are full of the bones of the dead and of everything unclean!
Mt 23:28	In the same way, on the outside you also appear righteous to people, but inside you are full of hypocrisy and lawlessness. 

Mt 23:29	"Woe to you, scribes and Pharisees--hypocrites!--because you build the tombs of the prophets and decorate the graves of the righteous,
Mt 23:30	and you say, 'If we had lived in the days of our fathers, we would not have been partners with them in the blood of the prophets!'
Mt 23:31	Thus you testify against yourselves that you are descendants of those who murdered the prophets!
Mt 23:32	And you--fill up the measure of your fathers!
Mt 23:33	Serpents! Offspring of vipers! How will you escape from the condemnation to hell?
Mt 23:34	For this reason, behold, I am sending to you prophets and wise men and scribes. Some of them you will kill and crucify, and some of them you will flog in your synagogues and will pursue from town to town,
Mt 23:35	so that upon you will come all the righteous blood shed on the earth from the blood of righteous Abel up to the blood of Zechariah son of Barachiah, whom you murdered between the temple and the altar.
Mt 23:36	Truly I say to you, all these things will come upon this generation! 

Mt 23:37	"Jerusalem, Jerusalem, who kills the prophets and stones those who are sent to her! How many times I wanted to gather your children together the way a hen gathers her young together under her wings, and you were not willing!
Mt 23:38	Behold, your house has been left to you desolate!
Mt 23:39	For I tell you, you will never see me from now on until you say, 
 'Blessed is the one who comes in the name of the Lord!'" 


CHAPTER 24
Mt 24:1	And as Jesus went out of the temple courts he was going along, and his disciples came up to point out to him the buildings of the temple.
Mt 24:2	But he answered and said to them, "Do you not see all these things? Truly I say to you, not one stone will be left here on another stone that will not be thrown down!" 

Mt 24:3	And as he was sitting on the Mount of Olives, the disciples came up to him privately, saying, "Tell us, when will these things happen, and what will be the sign of your coming and of the end of the age?"
Mt 24:4	And Jesus answered and said to them, "Watch out that no one deceives you!
Mt 24:5	For many will come in my name, saying, 'I am the Christ,' and they will deceive many.
Mt 24:6	And you are going to hear about wars and rumors of wars. See to it that you are not alarmed, for this must happen, but the end is not yet.
Mt 24:7	For nation will rise up against nation and kingdom against kingdom, and there will be famines and earthquakes in various places.
Mt 24:8	But all these things are the beginning of birth pains. 

Mt 24:9	"Then they will hand you over to persecution and will kill you, and you will be hated by all the nations because of my name.
Mt 24:10	And then many will be led into sin and will betray one another and will hate one another,
Mt 24:11	and many false prophets will appear and will deceive many,
Mt 24:12	and because lawlessness will increase, the love of many will grow cold.
Mt 24:13	But the one who endures to the end--this person will be saved.
Mt 24:14	And this gospel of the kingdom will be proclaimed in the whole inhabited earth for a testimony to all the nations, and then the end will come. 

Mt 24:15	"So when you see the abomination of desolation spoken about by the prophet Daniel standing in the holy place" (let the one who reads understand),
Mt 24:16	"then those in Judea must flee to the mountains!
Mt 24:17	The one who is on his housetop must not come down to take things out of his house,
Mt 24:18	and the one who is in the field must not turn back to pick up his cloak.
Mt 24:19	And woe to those who are pregnant and to those who are nursing their babies in those days!
Mt 24:20	But pray that your flight may not happen in winter or on a Sabbath.
Mt 24:21	For at that time there will be great tribulation, such as has not happened from the beginning of the world until now, nor ever will happen.
Mt 24:22	And unless those days had been shortened, no human being would be saved. But for the sake of the elect, those days will be shortened. 

Mt 24:23	"At that time if anyone should say to you, 'Behold, here is the Christ,' or 'Here he is,' do not believe him!
Mt 24:24	For false messiahs and false prophets will appear, and will produce great signs and wonders in order to deceive, if possible, even the elect.
Mt 24:25	Behold, I have told you ahead of time!
Mt 24:26	Therefore if they say to you, 'Behold, he is in the wilderness,' do not go out, or 'Behold, he is in the inner rooms,' do not believe it!
Mt 24:27	For just as the lightning comes from the east and flashes to the west, so the coming of the Son of Man will be.
Mt 24:28	Wherever the corpse is, there the vultures will gather. 

Mt 24:29	"And immediately after the tribulation of those days, 
 'the sun will be darkened and the moon will not give its light, and the stars will fall from heaven, and the powers of heaven will be shaken.'

Mt 24:30	And then the sign of the Son of Man will appear in heaven, and then all the tribes of the earth will mourn, and they will see the Son of Man arriving on the clouds of heaven with power and great glory.
Mt 24:31	And he will send out his angels with a loud trumpet call, and they will gather his elect together from the four winds, from one end of heaven to the other end of it. 

Mt 24:32	"Now learn the parable from the fig tree: Whenever its branch has already become tender and puts forth its leaves, you know that summer is near.
Mt 24:33	So also you, when you see all these things, know that he is near, at the door.
Mt 24:34	Truly I say to you that this generation will never pass away until all these things take place!
Mt 24:35	Heaven and earth will pass away, but my words will never pass away. 

Mt 24:36	"But concerning that day and hour no one knows--not even the angels of heaven nor the Son--except the Father alone.
Mt 24:37	For just as the days of Noah were, so the coming of the Son of Man will be.
Mt 24:38	For as in the days before the flood they were eating and drinking, marrying and giving in marriage, until the day Noah entered into the ark.
Mt 24:39	And they did not know anything until the deluge came and swept them all away. So also the coming of the Son of Man will be.
Mt 24:40	Then there will be two men in the field; one will be taken and one left.
Mt 24:41	Two women will be grinding at the mill; one will be taken and one left.
Mt 24:42	Therefore be on the alert, because you do not know what day your Lord is coming!
Mt 24:43	But understand this: that if the master of the house had known what watch of the night the thief was coming, he would have stayed awake and would not have let his house be broken into.
Mt 24:44	For this reason you also must be ready, because the Son of Man is coming at an hour that you do not think he will come. 

Mt 24:45	"Who then is the faithful and wise slave whom the master has put in charge of his household slaves to give them their food at the right time?
Mt 24:46	Blessed is that slave whom his master will find so doing when he comes back.
Mt 24:47	Truly I say to you that he will put him in charge of all his possessions.
Mt 24:48	But if that evil slave should say to himself, 'My master is staying away for a long time,'
Mt 24:49	and he begins to beat his fellow slaves and eats and drinks with drunkards,
Mt 24:50	the master of that slave will come on a day that he does not expect and at an hour that he does not know,
Mt 24:51	and will cut him in two and assign his place with the hypocrites. In that place there will be weeping and gnashing of teeth! 


CHAPTER 25
Mt 25:1	"Then the kingdom of heaven may be compared to ten virgins who took their lamps and went out to meet the bridegroom.
Mt 25:2	Now five of them were foolish and five were wise.
Mt 25:3	For when the foolish ones took their lamps, they did not take olive oil with them.
Mt 25:4	But the wise ones took olive oil in flasks with their lamps.
Mt 25:5	And when the bridegroom was delayed, they all became drowsy and fell asleep.
Mt 25:6	But in the middle of the night there was a shout, 'Behold, the bridegroom! Come out to meet him!'
Mt 25:7	Then all those virgins woke up and trimmed their lamps.
Mt 25:8	And the foolish ones said to the wise ones, 'Give us some of your olive oil, because our lamps are going out!'
Mt 25:9	But the wise ones answered saying, "Certainly there will never be enough for us and for you! Go instead to those who sell olive oil and buy some for yourselves.'
Mt 25:10	But while they had gone away to buy it the bridegroom arrived, and those who were ready went inside with him to the wedding celebration, and the door was shut.
Mt 25:11	And later the other virgins came also, saying, 'Lord, lord, open the door for us!'
Mt 25:12	But he answered and said, 'Truly I say to you, I do not know you!'
Mt 25:13	Therefore be on the alert, because you do not know the day or the hour! 

Mt 25:14	For it is like a man going on a journey. He summoned his own slaves and handed over his property to them.
Mt 25:15	And to one he gave five talents, and to another two, and to another one, to each one according to his own ability, and he went on a journey immediately.
Mt 25:16	The one who had received the five talents went out and traded with them and gained five more.
Mt 25:17	In the same way the one who had the two gained two more.
Mt 25:18	But the one who had received the one went away and dug up the ground and hid his master's money.
Mt 25:19	Now after a long time, the master of those slaves came and settled accounts with them.
Mt 25:20	And the one who had received the five talents came up and brought five more talents, saying, 'Master, you handed over to me five talents. See, I have gained five more talents!'
Mt 25:21	His master said to him, 'Well done, good and faithful slave! You were faithful over a few things; I will put you in charge over many things. Enter into the joy of your master!'
Mt 25:22	And the one who had the two talents also came up and said, 'Master, you handed over to me two talents. See, I have gained two talents more!'
Mt 25:23	His master said to him, 'Well done, good and faithful slave! You were faithful over a few things; I will put you in charge over many things. Enter into the joy of your master!'
Mt 25:24	And the one who had received the one talent came up also and said, 'Master, because I knew you, that you are a hard man, reaping where you did not sow and gathering from where you did not scatter seed.
Mt 25:25	And because I was afraid, I went away and hid your talent in the ground. See, you have what is yours!'
Mt 25:26	But his master answered and said to him, 'Evil and lazy slave! You knew that I reap where I did not sow and gather from where I did not scatter seed.
